"make","mileage","model","vin","price_july_22","price_aug_11","percentage_of_difference"
"Mercedes-Benz",81274,"C-Class C 300","55SWF4KB3FU033095",21995.0,NULL,NULL
"RAM",59610,"1500 Laramie","1C6SRFJT2KN904133",44898.0,NULL,NULL
"Honda",13579,"CR-V EX","7FARW2H54KE007219",30999.0,NULL,NULL
"Jeep",39393,"Grand Cherokee Limited","1C4RJFBG3KC541739",35785.0,NULL,NULL
"Chevrolet",30857,"Equinox 2LT","2GNAXVEX3L6262746",30490.0,NULL,NULL
"Kia",20463,"K5 GT-Line","5XXG64J28NG082814",32900.0,NULL,NULL
"Ford",63261,"Edge SEL","2FMPK4J98LBA45893",27995.0,NULL,NULL
"Acura",34580,"MDX 3.5L w/Technology Package","5J8YD4H54KL023735",40995.0,NULL,NULL
"Subaru",92132,"Outback 2.5i Limited","4S4BSANC2H3303055",24991.0,NULL,NULL
"Toyota",14812,"RAV4 Hybrid XSE","4T3E6RFVXMU039594",51685.0,NULL,NULL
"Toyota",50666,"4Runner Limited","JTEBU5JR4H5482005",39987.0,NULL,NULL
"Chevrolet",44679,"Equinox 1LT","2GNAXUEV3K6192821",27598.0,NULL,NULL
"Mazda",67806,"CX-5 Grand Touring","JM3KE4DY1G0908699",24998.0,NULL,NULL
"Jeep",47519,"Grand Cherokee Limited","1C4RJFBG5KC841427",36977.0,NULL,NULL
"Hyundai",12656,"Elantra SE","KMHD74LF1KU757002",20594.0,NULL,NULL
"RAM",75251,"1500 Tradesman/Express","1C6RR7FT8ES257773",19900.0,NULL,NULL
"Honda",12200,"CR-V Touring","2HKRW2H98KH642640",34499.0,NULL,NULL
"RAM",16984,"1500 Big Horn","1C6RRFFG3KN816590",40250.0,NULL,NULL
"Jeep",0,"Grand Cherokee Limited","1J4RR5GGXBC603322",14995.0,NULL,NULL
"Ford",34033,"F-150 XLT","1FTFW1E50LKD84406",44934.0,NULL,NULL
"Toyota",48075,"Camry LE","4T1B11HK4KU267098",26895.0,NULL,NULL
"Audi",47306,"A4 2.0T Premium Plus","WAUENAF47JA053195",31536.0,NULL,NULL
"Ford",32794,"F-150 XLT","1FTEX1EP2LKE63344",38990.0,NULL,NULL
"Subaru",39378,"Outback Limited","4S4BTANC7M3104512",34500.0,NULL,NULL
"BMW",30163,"X3 xDrive30i","5UXTR9C54KLP93074",39780.0,NULL,NULL
"Jeep",74056,"Grand Cherokee Laredo","1C4RJFAG4HC728272",24495.0,NULL,NULL
"INFINITI",98047,"G37x Base","JN1CV6AR5CM975544",15763.0,NULL,NULL
"Ford",60058,"Edge SEL","2FMPK3J94LBA28731",24197.0,NULL,NULL
"Dodge",76197,"Journey GT","3C4PDDEG9HT593386",20498.0,NULL,NULL
"Chevrolet",89706,"Traverse 1LT","1GNKVGKD4HJ228440",22399.0,NULL,NULL
"Honda",35884,"Ridgeline RTL-E","5FPYK3F7XKB020366",35495.0,NULL,NULL
"Honda",22281,"Accord Touring 2.0T","1HGCV2F91KA022992",35333.0,NULL,NULL
"Hyundai",21805,"Sonata SEL","5NPE34AF1KH779163",22998.0,NULL,NULL
"Acura",35969,"RDX Technology Package","5J8TC2H56LL037848",42875.0,NULL,NULL
"Audi",21977,"Q5 2.0T Premium Plus","WA1BNAFYXK2132553",43226.0,NULL,NULL
"Toyota",90015,"RAV4 LE","2T3BFREV8EW180184",19650.0,NULL,NULL
"GMC",95048,"Sierra 1500 Denali","3GTU2WEJ7FG179304",33657.0,NULL,NULL
"Mazda",73774,"CX-9 Touring","JM3TB3CV7F0464533",20495.0,NULL,NULL
"Ford",22910,"Escape Titanium","1FMCU9J9XKUA19908",32999.0,NULL,NULL
"Toyota",40687,"RAV4 Hybrid LE","2T3MWRFV2KW027190",35995.0,NULL,NULL
"Nissan",47061,"Rogue S","JN8AT2MV3HW013092",16985.0,NULL,NULL
"Ford",49997,"F-150 XL","1FTEW1EP0JKC70903",35502.0,NULL,NULL
"Jeep",30947,"Grand Cherokee Limited","1C4RJFBG1KC639846",34987.0,NULL,NULL
"Jeep",15121,"Grand Cherokee Limited","1C4RJFBG1KC737050",37630.0,NULL,NULL
"Honda",4425,"Accord LX 1.5T","1HGCV1F19NA013742",35000.0,NULL,NULL
"Toyota",52729,"Camry LE","4T1BF1FK4HU617052",20871.0,NULL,NULL
"Honda",24405,"CR-V EX-L","7FARW2H89KE059021",31499.0,NULL,NULL
"Lincoln",46962,"MKC Select","5LMCJ2D92HUL14048",26998.0,NULL,NULL
"Ford",35870,"Fusion Hybrid SE","3FA6P0LU0KR158495",24977.0,NULL,NULL
"Mazda",70125,"CX-9 Grand Touring","JM3TCBDY4H0127613",26499.0,NULL,NULL
"Honda",37406,"HR-V LX","3CZRU6H30GM704990",21998.0,NULL,NULL
"Chevrolet",30488,"Equinox 1LT","2GNAXUEVXK6224227",26770.0,NULL,NULL
"Ford",54522,"Fusion SE","3FA6P0T91LR190594",23947.0,NULL,NULL
"Audi",64070,"A6 3.0T Premium Plus","WAUF2AFC6HN008174",29997.0,NULL,NULL
"Dodge",46759,"Challenger R/T","2C3CDZBT3HH624660",31599.0,NULL,NULL
"Ford",94646,"Explorer Limited","1FM5K8FH5HGA60303",27125.0,NULL,NULL
"Toyota",89999,"Camry LE","4T1B11HK1KU266765",19999.0,NULL,NULL
