"model","vin","price_july_22","price_aug_2","difference"
"MKC Select","5LMCJ2D92HUL14048",26998.0,NULL,NULL
"Fusion Hybrid SE","3FA6P0LU0KR158495",24977.0,NULL,NULL
"MKC Select","5LMCJ2D93GUJ30669",24495.0,NULL,NULL
"CX-9 Grand Touring","JM3TCBDY4H0127613",26499.0,NULL,NULL
"HR-V LX","3CZRU6H30GM704990",21998.0,NULL,NULL
"Clubman Cooper S ALL4","WMWLU5C54H2C46071",24999.0,NULL,NULL
"Fusion SE","3FA6P0T91LR190594",23947.0,NULL,NULL
"A6 3.0T Premium Plus","WAUF2AFC6HN008174",29997.0,NULL,NULL
"Explorer Limited","1FM5K8FH5HGA60303",27125.0,NULL,NULL
"Enclave Leather","5GAKVBKD6GJ329488",23281.0,NULL,NULL
"535 i xDrive","WBA5B3C52GG252436",23572.0,NULL,NULL
"Kona SEL","KM8K6CAB7NU860532",28100.0,NULL,NULL
"Sorento LX","5XYPGDA3XKG571079",28899.0,NULL,NULL
"Edge Titanium","2FMPK4K94HBB88233",28995.0,NULL,NULL
"C-Class C 300","55SWF4KB0FU027710",22499.0,NULL,NULL
"Tiguan 2.0T SE","3VV2B7AX4KM041465",27475.0,NULL,NULL
"Accord LX","1HGCV1F15KA126826",26599.0,NULL,NULL
"CR-V EX-L","JHLRW2H83KX013172",29599.0,NULL,NULL
"Sonata SEL","5NPE34AF4KH778024",23599.0,NULL,NULL
"Escape SE","1FMCU9GDXKUC54322",25499.0,NULL,NULL
"Equinox 1LT","3GNAXKEV3KS542812",22900.0,NULL,NULL
"Acadia Limited Limited","1GKKVSKD5HJ149455",27998.0,NULL,NULL
"RAV4 LE","2T3BFREV1JW749600",29885.0,NULL,NULL
"Trax LT","3GNCJPSB2KL157799",20998.0,NULL,NULL
"1500 Express","3C6JR7ATXHG641067",28993.0,NULL,NULL
"Crosstrek 2.0i Premium","JF2GTACC8K8259486",28989.0,NULL,NULL
"Legacy Premium","4S3BWAF66M3011517",28500.0,NULL,NULL
"Civic LX","2HGFC2F62KH562314",23995.0,NULL,NULL
"Accord LX","1HGCV1F10KA111229",26995.0,NULL,NULL
"Grand Cherokee Laredo","1C4RJFAG6FC892958",20500.0,NULL,NULL
"Ascent Limited 7-Passenger","4S4WMAMD8K3458934",27995.0,NULL,NULL
"Equinox Premier","2GNFLGEK4H6130958",20995.0,NULL,NULL
"CR-V EX","7FARW2H5XKE012764",29990.0,NULL,NULL
"535 i xDrive","WBA5B3C57GG255896",24999.0,NULL,NULL
"Civic EX","SHHFK7H67JU218251",27000.0,NULL,NULL
"Accord EX-L","1HGCT1B80GA007453",23995.0,NULL,NULL
"1500 Big Horn","1C6RR7LG9GS288184",27000.0,NULL,NULL
"Edge SEL","2FMPK4J98HBC64960",23599.0,NULL,NULL
"Forester 2.5i Premium","JF2SJAGC8JH453816",26788.0,NULL,NULL
"QX60 Luxe","5N1DL0MM2KC529422",28974.0,NULL,NULL
"Camry SE","4T1B11HK0KU193470",28785.0,NULL,NULL
"Cascada Premium","W04WT3N52GG108543",20950.0,NULL,NULL
