"vin","year","make","model","used_or_new","price","sellertype","sellername","zipcode","dealtype","drivetrain","transmission","engine","mileage","difference","percentage_of_difference"
"YV1612FH5E2272517",2014,"Volvo","S60 T5","Used",14900.00,"Dealer","Prospect Auto Sales",55369,"Fair","All-wheel Drive","Automatic","Engine: 2.5L 20V Inline 5-Cylinder Turbo",91400,0.00,0.0
"2HGFC2F65KH591693",2019,"Honda","Civic LX","Used",24433.00,"Dealer","Buerkle Hyundai",55110,"Good","Front-wheel Drive","Automatic CVT","2.0L I4 16V MPFI DOHC",22422,0.00,0.0
"1C4RJFBG5LC282883",2020,"Jeep","Grand Cherokee Limited","Used",38995.00,"Dealer","Buerkle Hyundai",55110,"Great","Four-wheel Drive","8-Speed Automatic","3.6L V6 24V MPFI DOHC",25915,0.00,0.0
"3VV2B7AX0KM141224",2019,"Volkswagen","Tiguan 2.0T SE","Used",24811.00,"Dealer","Your MTH",56304,"Fair","All-wheel Drive","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",88337,0.00,0.0
"1FADP3FEXJL266424",2018,"Ford","Focus SE","Ford Certified",17998.00,"Dealer","Rochester Ford",55901,"Good","Front-wheel Drive","6-Speed Automatic","1.0L I3 12V GDI DOHC Turbo",32260,0.00,0.0
"1C4RJFBG6LC209523",2020,"Jeep","Grand Cherokee Limited","Used",44999.00,"Dealer","BERNARD'S Chrysler Dodge Jeep RAM",54017,"Fair","Four-wheel Drive","8-Speed Automatic","3.6L V6 24V MPFI DOHC",20045,0.00,0.0
"YV1612FS0E1299240",2014,"Volvo","S60 T5","Used",13998.00,"Dealer","Richfield Bloomington Honda",55423,"Fair","Front-wheel Drive","6-Speed Automatic","2.5L I5 20V MPFI DOHC Turbo",98555,0.00,0.0
"3VV2B7AX0LM062542",2020,"Volkswagen","Tiguan 2.0T SE","Used",29999.00,"Dealer","Jaguar Land Rover Minneapolis",55426,"Great","All-wheel Drive","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",25295,0.00,0.0
"3VV2B7AX9KM185478",2019,"Volkswagen","Tiguan 2.0T SE","Volkswagen Certified",28985.00,"Dealer","Luther Brookdale Volkswagen",55429,"Good","All-wheel Drive","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",36625,0.00,0.0
"5LM5J7XC2LGL15785",2020,"Lincoln","Aviator Reserve AWD","Used",59998.00,"Dealer","Walser Nissan Wayzata",55391,"Great","All-wheel Drive","Automatic","Twin Turbo Premium Unleaded V-6 3.0 L/183",10618,0.00,0.0
"2HGFC2F84KH509793",2019,"Honda","Civic Sport","Used",18952.00,"Dealer","RAVMOTORS of Crystal",55429,"Great","Front-wheel Drive","Automatic CVT","2.0L I4 16V MPFI DOHC",75988,0.00,0.0
"5TDBK22C59S026884",2009,"Toyota","Sienna Limited","Used",11998.00,"Dealer","RAVMOTORS of Crystal",55429,"Great","All-wheel Drive","5-Speed Automatic","3.5L V6 24V MPFI DOHC",95561,0.00,0.0
"1GYKNDRS7HZ256756",2017,"Cadillac","XT5 Luxury","Used",25500.00,"Dealer","American Motors, Inc",55024,"Great","All-wheel Drive","8-Speed Automatic","3.6L V6 24V GDI DOHC",55775,0.00,0.0
"1GKKVSKD6HJ263898",2017,"GMC","Acadia Limited Limited","Used",24997.00,"Dealer","North Imports",55337,"Great","All-wheel Drive","Automatic 6-Speed","V6 Cylinder Engine",38708,0.00,0.0
"5FNRL6H75KB058418",2019,"Honda","Odyssey EX-L","Honda Certified",40669.00,"Dealer","Inver Grove Honda",55077,"Good","FWD","9-Speed Automatic","3.5L V6 24V GDI SOHC",27733,0.00,0.0
"4JGFB4KB8LA090938",2020,"Mercedes-Benz","GLE 350 Base 4MATIC","Used",59995.00,"Dealer","Morrie's Mercedes Benz of St. Paul",55109,"Good","All-wheel Drive","9-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",17596,0.00,0.0
"1C4SDJCT8MC549054",2021,"Dodge","Durango R/T","Used",51699.00,"Dealer","Cornerstone Ford Chrysler",55330,"Good","All-wheel Drive","8-Speed Automatic","5.7L V8 16V MPFI OHV",24408,300.00,0.6
"JM3TCBCY2K0303373",2019,"Mazda","CX-9 Touring","Used",33785.00,"Dealer","Carlson Toyota",55448,"Good","All-wheel Drive","6-Speed Automatic","2.5L V6 24V",24701,400.00,1.2
"5UXTR9C53KLR04195",2019,"BMW","X3 xDrive30i","Used",39980.00,"Dealer","BMW of Minnetonka",55391,"Good","All-wheel Drive","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",31675,700.00,1.8
"3FMCR9B63MRA63359",2021,"Ford","Bronco Sport Big Bend","Used",37988.00,"Dealer","Superior Ford",55442,"NA","Four-wheel Drive","8-Speed Automatic","1.5L I3 12V PDI DOHC Turbo",19046,1000.00,2.6
"WA1BNAFY7K2033723",2019,"Audi","Q5 2.0T Premium Plus","Used",43975.00,"Dealer","Luther Westside VW",55416,"Good","All-wheel Drive","7-Speed Automatic with Auto-Shift","2.0L I4 16V GDI DOHC Turbo",11680,NULL,NULL
"2T2HZMDAXLC221176",2020,"Lexus","RX 350 Base","Used",50699.00,"Dealer","Lexus of Wayzata",55391,"Good","All-wheel Drive","8-Speed Automatic","3.5L V6 24V PDI DOHC",18550,NULL,NULL
"3VWV67AT3CM616604",2012,"Volkswagen","Beetle","Used",15995.00,"Dealer","Perfect 10 Auto",55432,"Good","Front-wheel Drive","6-Speed Automatic with Auto-Shift","2.0L I4 16V GDI DOHC Turbo",74505,NULL,NULL
"5UXCW2C51KL084988",2019,"BMW","X7 xDrive40i","Used",69980.00,"Dealer","BMW of Minnetonka",55391,"Good","All-wheel Drive","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo",32525,NULL,NULL
"1GCGTDE33G1151547",2016,"Chevrolet","Colorado Z71","Used",33999.00,"Dealer","Apple Ford Lincoln Apple Valley",55124,"Fair","Four-wheel Drive","6-Speed Automatic","3.6L V6 24V GDI DOHC",34890,NULL,NULL
"4S4BTGKD2L3140932",2020,"Subaru","Outback Onyx Edition XT","Used",36993.00,"Dealer","Chilson Subaru",54701,"Great","All-wheel Drive","Automatic CVT","2.4L H4 16V GDI DOHC Turbo",30982,NULL,NULL
"1G6DS1E30D0134844",2013,"Cadillac","CTS Premium","Used",19379.00,"Dealer","Audi St. Paul",55109,"Fair","All-wheel Drive","6-Speed Automatic","3.6L V6 24V GDI DOHC",84326,NULL,NULL
"WAUHGAFC1EN016530",2014,"Audi","A6 3.0T Prestige quattro","Used",23995.00,"Dealer","Luther Subaru of White Bear",55110,"Good","All-wheel Drive","8-Speed Automatic","3.0L V6 24V GDI DOHC Supercharged",72894,NULL,NULL
"5FNYF6H5XLB059230",2020,"Honda","Pilot EX-L","Used",38320.00,"Dealer","Motorwerks BMW",55420,"Great","All-wheel Drive","6-Speed Automatic","3.5L V6 24V GDI SOHC",25326,NULL,NULL
"2T1BURHE0KC243236",2019,"Toyota","Corolla SE","Toyota Certified",26444.00,"Dealer","Burnsville Toyota",55306,"NA","Front-wheel Drive","Automatic CVT","1.8L I4 16V MPFI DOHC",48461,NULL,NULL
"4T1B11HK5KU778707",2019,"Toyota","Camry LE","Toyota Certified",28795.00,"Dealer","Rudy Luther Toyota",55426,"Good","Front-wheel Drive","8-Speed Automatic","2.5L I4 16V PDI DOHC",12459,NULL,NULL
"2T3F1RFV5MW192242",2021,"Toyota","RAV4 LE","Toyota Certified",29598.00,"Dealer","Rochester Toyota",55904,"Great","All-wheel Drive","8-Speed Automatic","2.5L I4 16V PDI DOHC",44997,NULL,NULL
"1FTEW1EF2HKC20568",2017,"Ford","F-150 XLT","Used",34806.00,"Dealer","Jeff Belzer's Lakeville",55044,"Great","Four-wheel Drive","6-Speed Automatic","5.0L V8 32V MPFI DOHC Flexible Fuel",57862,NULL,NULL
"5FNYF6H50LB031744",2020,"Honda","Pilot EX-L","Used",38498.00,"Dealer","Richfield Bloomington Honda",55423,"Great","All-wheel Drive","6-Speed Automatic","3.5L V6 24V GDI SOHC",29525,NULL,NULL
"1C4PJMBX4KD398841",2019,"Jeep","Cherokee Trailhawk","Used",24999.00,"Dealer","Fury Motors Stillwater",55082,"Great","Four-wheel Drive","9-Speed Automatic","3.2L V6 24V MPFI DOHC",84959,NULL,NULL
"5TDGZRBH2LS023034",2020,"Toyota","Highlander XLE","Used",44977.00,"Dealer","Maplewood Toyota",55109,"Good","All-wheel Drive","8-Speed Automatic","3.5L V6 24V PDI DOHC",37147,NULL,NULL
"1C4RJFBG0KC639062",2019,"Jeep","Grand Cherokee Limited","Used",35632.00,"Dealer","Jeff Belzer's New Prague",56071,"Great","Four-wheel Drive","8-Speed Automatic","3.6L V6 24V MPFI DOHC",21182,NULL,NULL
"1FM5K8F86GGC94397",2016,"Ford","Explorer Limited","Used",28764.00,"Dealer","Lupient KIA Nissan",55445,"Great","Four-wheel Drive","6-Speed Automatic","3.5L V6 24V MPFI DOHC",36020,NULL,NULL
"JF2SKAUC6KH558566",2019,"Subaru","Forester Limited","Used",33989.00,"Dealer","Luther Bloomington Subaru",55420,"Fair","All-wheel Drive","Automatic CVT","2.5L H4 16V GDI DOHC",27313,NULL,NULL
"2T2BZMCA9KC183445",2019,"Lexus","RX 350 350","Used",46999.00,"Dealer","Lexus of Wayzata",55391,"Good","All-wheel Drive","8-Speed Automatic","3.5L V6 24V PDI DOHC",34871,NULL,NULL
"1C4RJFCG1KC670206",2019,"Jeep","Grand Cherokee Overland","Used",40998.00,"Dealer","Walser Chrysler Jeep Dodge RAM",55343,"Good","Four-wheel Drive","Automatic","Regular Unleaded V-6 3.6 L/220",28946,NULL,NULL
"1C4RJFBG1KC703240",2019,"Jeep","Grand Cherokee Limited","Used",36596.00,"Dealer","White Bear Mitsubishi",55110,"Great","Four-wheel Drive","8-Speed Automatic","3.6L V6 24V MPFI DOHC",24926,NULL,NULL
"3GKALXEX3KL201055",2019,"GMC","Terrain Denali","GMC Certified",38976.00,"Dealer","Luther Hudson Chevrolet GMC",54016,"Good","All-wheel Drive","9-Speed Automatic","2.0L I4 16V GDI DOHC Turbo",18374,NULL,NULL
