Year,Make,Model,used_or_new,Price,ConsumerRating,ConsumerReviews,SellerType,SellerName,SellerRating,SellerReviews,StreetName,State,Zipcode,DealType,ComfortRating,InteriorDesignRating,PerformanceRating,ValueForMoneyRating,ExteriorStylingRating,ReliabilityRating,Drivetrain,MinMPG,MaxMPG,FuelType,Transmission,Engine,VIN,Stock,Mileage
2019,Toyota,RAV4 XLE,Used,"$34,000 ",4.6,444,Dealer,Dahl Toyota,4.6,105,1077 W Service Dr Winona,MN,55987,Good,4.6,4.6,4.4,4.4,4.7,4.6,All-wheel Drive,25,33,Gasoline,8-Speed Automatic,2.5L I4 16V PDI DOHC,2T3P1RFV1KW057888,4P1355,26797
2018,Ford,Focus SE,Used,"$14,642 ",4.6,200,Dealer,Mills Ford Brainerd,4.7,296,14858 Dellwood Dr Baxter,MN,56425,Good,4.6,4.6,4.5,4.6,4.7,4.6,Front-wheel Drive,30,40,Gasoline,6-Speed PowerShift Automatic,2.0L I4 16V GDI DOHC,1FADP3F21JL270416,1U220040C,89499
2020,Chevrolet,Silverado 1500 LTZ,Chevrolet Certified,"$49,990 ",4.6,137,Dealer,Marthaler Chevrolet of Glenwood,4.5,74,2200 State Hwy 29 North Glenwood,MN,56334,Great,4.7,4.6,4.6,4.5,4.8,4.5,Four-wheel Drive,16,22,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,1GCUYGEL2LZ243993,220386A,41832
2019,Ford,F-150 XLT,Ford Certified,"$39,990 ",4.8,425,Dealer,Schwieters Ford of Montevideo,3.8,13,2207 East Highway 7 Montevideo,MN,56265,Great,4.9,4.8,4.8,4.6,4.8,4.7,Four-wheel Drive,18,23,Gasoline,6-Speed Automatic,3.5L V6 24V PDI DOHC Twin Turbo,1FTEW1E40KFD33689,M22143B,37770
2019,Ford,Expedition XLT,Used,"$46,990 ",4.8,62,Dealer,Schwieters Ford of Montevideo,3.8,13,2207 East Highway 7 Montevideo,MN,56265,Good,4.9,4.9,4.8,4.7,4.9,4.7,Four-wheel Drive,17,22,Gasoline,10-Speed Automatic,3.5L V6 24V GDI DOHC Twin Turbo,1FMJU1JT1KEA26776,M1691XX,64373
2021,GMC,Yukon Denali,Used,"$83,950 ",4,24,Dealer,Diamond Buick GMC of Alexandria,4.6,50,5803 State Hwy 29 South Alexandria,MN,56308,Fair,4.3,4.5,4.2,3.4,4.7,3.5,Four-wheel Drive,14,19,Gasoline,10-Speed Automatic,6.2L V8 16V GDI OHV,1GKS2DKL4MR439449,439449W,12258
2019,RAM,1500 Big Horn,Used,"$41,490 ",4.7,474,Dealer,Pischke Motors of La Crosse,4.5,60,434 4th St S La Crosse,WI,54601,Good,4.8,4.9,4.7,4.5,4.8,4.5,Four-wheel Drive,19,24,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C6SRFFT5KN876059,L2822032,24594
2018,Ford,F-150 XLT,Used,"$37,750 ",4.8,817,Dealer,Gross Ford,4,4,102 W Clark St Spencer,WI,54479,Good,4.9,4.8,4.8,4.6,4.8,4.7,Four-wheel Drive,18,23,Gasoline,10-Speed Automatic,5.0L V8 32V PDI DOHC,1FTFW1E59JFC49205,SA22-40,33522
2019,Acura,MDX 3.5L w/Technology Package,Acura Certified,"$42,989 ",4.6,63,Dealer,Luther Bloomington Subaru,4.7,5148,7801 Lyndale Ave S Bloomington,MN,55420,Great,4.6,4.7,4.6,4.5,4.7,4.8,All-wheel Drive,19,26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5J8YD4H52KL030327,15315A,30393
2019,INFINITI,QX60 Luxe,INFINITI Certified,"$36,990 ",4.6,56,Dealer,Luther INFINITI of Bloomington,4.9,204,1500 W 81st St Bloomington,MN,55431,Good,4.8,4.6,4.5,4.5,4.7,4.6,All-wheel Drive,19,26,Gasoline,Automatic CVT,3.5L V6 24V GDI DOHC,5N1DL0MM2KC515066,P7912,55828
